year,county,registrations,accidents
2018,ALLEGANY,61180,649
2019,ALLEGANY,60888,610
2020,ALLEGANY,60551,664
2021,ALLEGANY,59344,742
2022,ALLEGANY,60380,502
2018,ANNE ARUNDEL,567843,10622
2019,ANNE ARUNDEL,576194,10555
2020,ANNE ARUNDEL,586982,8523
2021,ANNE ARUNDEL,569927,9353
2022,ANNE ARUNDEL,573737,6791
2018,BALTIMORE,689814,22469
2019,BALTIMORE,688051,21530
2020,BALTIMORE,691845,17645
2021,BALTIMORE,677512,19867
2022,BALTIMORE,681773,14775
2018,BALTIMORE CITY,294465,17490
2019,BALTIMORE CITY,309996,17020
2020,BALTIMORE CITY,292633,15557
2021,BALTIMORE CITY,284692,16858
2022,BALTIMORE CITY,287519,11797
2018,CALVERT,97348,1231
2019,CALVERT,97745,1102
2020,CALVERT,98349,950
2021,CALVERT,98721,999
2022,CALVERT,99843,764
2018,CAROLINE,37521,504
2019,CAROLINE,37958,505
2020,CAROLINE,38335,452
2021,CAROLINE,38974,482
2022,CAROLINE,40265,363
2018,CARROLL,185135,2109
2019,CARROLL,185002,2078
2020,CARROLL,185749,1655
2021,CARROLL,183257,1796
2022,CARROLL,187928,1320
2018,CECIL,97365,1872
2019,CECIL,98044,1691
2020,CECIL,98524,1484
2021,CECIL,97479,1570
2022,CECIL,99357,1164
2018,CHARLES,153349,3044
2019,CHARLES,154789,2880
2020,CHARLES,156153,2445
2021,CHARLES,156303,2782
2022,CHARLES,158765,2066
2018,DORCHESTER,33296,536
2019,DORCHESTER,33573,550
2020,DORCHESTER,33638,505
2021,DORCHESTER,33159,512
2022,DORCHESTER,34095,350
2018,FREDERICK,245664,3738
2019,FREDERICK,249559,3547
2020,FREDERICK,253839,2762
2021,FREDERICK,257770,3305
2022,FREDERICK,260745,2435
2018,GARRETT,33828,498
2019,GARRETT,33114,535
2020,GARRETT,33105,457
2021,GARRETT,32381,485
2022,GARRETT,33469,316
2018,HARFORD,241521,3480
2019,HARFORD,242830,3268
2020,HARFORD,245395,2817
2021,HARFORD,244808,3156
2022,HARFORD,246885,2325
2018,HOWARD,276468,4251
2019,HOWARD,280825,4090
2020,HOWARD,285699,2961
2021,HOWARD,278855,3599
2022,HOWARD,279411,2721
2018,KENT,21778,222
2019,KENT,21997,239
2020,KENT,22114,208
2021,KENT,21813,203
2022,KENT,22465,184
2018,MONTGOMERY,807040,14134
2019,MONTGOMERY,807146,13665
2020,MONTGOMERY,813579,9609
2021,MONTGOMERY,794713,11017
2022,MONTGOMERY,797520,8653
2018,PRINCE GEORGE'S,705861,19194
2019,PRINCE GEORGE'S,714429,20096
2020,PRINCE GEORGE'S,722509,16925
2021,PRINCE GEORGE'S,705048,19476
2022,PRINCE GEORGE'S,712932,14232
2018,QUEEN ANNE'S,58134,747
2019,QUEEN ANNE'S,57619,775
2020,QUEEN ANNE'S,58257,711
2021,QUEEN ANNE'S,58811,772
2022,QUEEN ANNE'S,60105,582
2018,SOMERSET,20354,312
2019,SOMERSET,20418,305
2020,SOMERSET,20557,265
2021,SOMERSET,19719,281
2022,SOMERSET,20743,210
2018,ST MARY'S,114552,1783
2019,ST MARY'S,115280,1708
2020,ST MARY'S,116160,1433
2021,ST MARY'S,116657,1646
2022,ST MARY'S,118547,1166
2018,TALBOT ,43298,909
2019,TALBOT ,43523,753
2020,TALBOT ,44642,680
2021,TALBOT ,43565,784
2022,TALBOT ,44266,550
2018,WASHINGTON,141244,2636
2019,WASHINGTON,141527,2500
2020,WASHINGTON,142199,2299
2021,WASHINGTON,141163,2439
2022,WASHINGTON,144365,1858
2018,WICOMICO,92388,2194
2019,WICOMICO,93479,2165
2020,WICOMICO,95023,1939
2021,WICOMICO,92414,2054
2022,WICOMICO,96822,1443
2018,WORCESTER,58867,1308
2019,WORCESTER,59145,1344
2020,WORCESTER,59729,1260
2021,WORCESTER,62026,1407
2022,WORCESTER,61405,1088
